A;Rédiger le statuts de la SAS;5;
B;Déposer la SAS;1;A
C;Embaucher les developpeurs et un graphiste;3;B
D;Ecrire le scenario;2;
E;Penser les enigmes;3;D, F
F;Définir le concept qui nous différenciera des concurents;2;
G;Réaliser une charte graphique;7;
H;Réaliser les images et les graphismes de l'application web et de ses enigmes;5;E
I;Développer le coeur de l'application web;10;E
J;Développer le frontend et intétégrer les graphismes ˆ l'application web;8;H, I
K;Développer les enigmes dans le backend de l'application web;15;I
L;Développer l'aspect multijoueur dans le backend de l'application web;10;I
M;Penser la structure du site web;2;G
N;Créer la maquette du site web;3;M
O;Développer les pages du site web;10;N
P;Faire une passe de vérification de la sécurité et de conformité RGPD.;5;R
Q;Rédiger la CGU et CGV.;2;F
R;Lier l'interface web et le site web;2;J, K, L, O
S;Tester l'escape game;5;R
T;Déterminer le business plan;3;B
U;Executer les plans commerciaux de pre-lancement;2;T
V;Louer les serveurs;1;B
W;Réserver le nom de domaine;1;V
X;Déployer la solution sur les serveurs;3;W
Y;Executer les plans commerciaux de lancement;2;X, S
